comp route  bound(upper)              nonzero_y  exact  verdict
16   RHO   rho<=0.9977244853900091291176304465727768790631599977731754270927799325244141360279 True      True   CERT_RHO
16   T     T<=3218.545042707471631109424480196088681698903165907918217694168669263912733431 True      True   CERT_T
17   RHO   rho<=0.9781835291464044541783644308625795473490330208389459517247687768565246569085 True      True   CERT_RHO
17   T     T<=2667.085205592906823646592307172799947228826000726839578663471243230161160007 True      True   CERT_T
18   RHO   rho<=0.9781835291464044541783644308625795473490330208389459517247687768565246569092 True      True   CERT_RHO
18   T     T<=1971.018049617664564483500335234188256351983968101968079669389167540130541976 True      True   CERT_T
19   RHO   rho<=0.9553479379635245969646436433449206640615608453267778231052245849286162089797 True      True   CERT_RHO
19   T     T<=2426.112272670344958549805758406208283506496558694201274819982172097101771324 True      True   CERT_T
20   RHO   rho<=0.9592332163057868789695632725791675176487744126209611414058377610837796020815 True      True   CERT_RHO
20   T     T<=2588.942105457713951342425713211540017186350878425867523128168535962740632977 True      True   CERT_T
21   RHO   rho<=0.9484392688177526747903476195721700179911079742114966448749885924229474199110 True      True   CERT_RHO
21   T     T<=2070.211691968319764181719457978745788503411827143801816998831627774433939419 True      True   CERT_T
22   RHO   rho<=0.9771826587794624497235441067361382170988013576107424978470204010913288177508 True      True   CERT_RHO
22   T     T<=2733.648310178072773994883894128966633298119425057461541834836139035803029952 True      True   CERT_T
23   RHO   rho<=0.9883408418753596316891212367155273308545215414688041155089302834992676861627 True      True   CERT_RHO
23   T     T<=3316.083967098112878311064450062814760959782502009050317999108611342213231264 True      True   CERT_T
24   RHO   rho<=0.9565946080013653796378427436844059895442093015946556276544748886138152738136 True      True   CERT_RHO
24   T     T<=3373.448298627623564051401930866184641390290548869750334932083384982591385084 True      True   CERT_T
25   RHO   rho<=0.9723293366185985577893775319301257529733108963976981784519097149252926698240 True      True   CERT_RHO
25   T     T<=2752.182631778780981087168785483704248248532854816929797002837333338004277372 True      True   CERT_T
26   RHO   rho<=0.9512774854208534400347485960806345795150909217767438034407772009682494294578 True      True   CERT_RHO
26   T     T<=2409.247207921673168736400048370071907083347248727712307789560365715949183664 True      True   CERT_T
27   RHO   rho<=0.9461974769358049822178011440620060585867389872224709702814680514927383233779 True      True   CERT_RHO
27   T     T<=2502.382852926989343266650686689178171316791365258099537931375756981820382211 True      True   CERT_T
28   RHO   rho<=0.9387180181726863040582967462850073941487590528896009660526156204282387637539 True      True   CERT_RHO
28   T     T<=2016.986914137176014196579074600793997717311048701366063199463497037837083995 True      True   CERT_T
29   RHO   rho<=0.9752864585726300935969141842948515038035109459233814062552776750606195618436 True      True   CERT_RHO
29   T     T<=2607.126735904542521717473496670349362674494569689599775891800984775582419507 True      True   CERT_T
30   RHO   rho<=0.9977244853900091291176304465727768790631599977731754270927799325244141360284 True      True   CERT_RHO
30   T     T<=2491.825026578839875181423685509546376722371194325685137978202625980585270046 True      True   CERT_T
31   RHO   rho<=0.9484392688177526747903476195721700179911079742114966448749885924229474199100 True      True   CERT_RHO
31   T     T<=2658.631825692462267316727770627037221988719105430334437583864260491921054275 True      True   CERT_T
SUMMARY: CERT_RHO 32/32   CERT_T 32/32   RHO-FAIL 0
R5 VERIFY DONE
